Time,Event Type,Protocol,URI,Client Name,Source IP,Source Port,Destination IP,Destination Port,Client IP,Client MAC,File Hash,File Type,File Size,Disposition,Action,Details
2026-05-26 09:50:42 -0700,IDS Alert,tcp/ip,,NRIKFHCIHOST2,172.16.250.9,49550,10.6.250.232,5985,10.6.250.232,04:7b:cb:8c:02:77,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-25 23:26:54 -0700,IDS Alert,tcp/ip,,KC-TEST-04,10.6.40.21,60286,172.16.250.160,80,10.6.40.21,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-25 23:21:54 -0700,IDS Alert,tcp/ip,,KC-TEST-04,10.6.40.21,60235,172.16.250.160,80,10.6.40.21,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-25 23:16:54 -0700,IDS Alert,tcp/ip,,KC-TEST-04,10.6.40.21,60179,172.16.250.160,80,10.6.40.21,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-25 23:15:55 -0700,IDS Alert,tcp/ip,,KC-TEST-04,10.6.40.21,60167,172.16.250.160,80,10.6.40.21,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-25 23:15:19 -0700,IDS Alert,tcp/ip,,KC-TEST-04,10.6.40.21,60156,172.16.250.160,80,10.6.40.21,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-21 12:36:16 -0700,IDS Alert,tcp/ip,,KF-AP-05,10.6.2.34,48240,146.190.252.222,8080,10.6.2.34,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-20 23:49:03 -0700,IDS Alert,tcp/ip,,NRIKFHCIHOST1,172.16.250.9,61283,10.6.250.231,5985,10.6.250.231,04:7b:cb:fe:cf:a2,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
2026-05-20 22:02:18 -0700,IDS Alert,tcp/ip,,NRIKFHCIHOST1,172.16.250.9,65213,10.6.250.231,5985,10.6.250.231,04:7b:cb:fe:cf:a2,,,,,Blocked,Snort Message: SERVER-OTHER Apache Log4j logging remote code execution attempt; Snort Rule ID: 1:58741:6
2026-05-20 15:31:46 -0700,IDS Alert,tcp/ip,,NRIKFDC1,10.3.10.21,62980,10.6.250.250,389,10.6.250.250,02:ec:fa:e7:00:03,,,,,Allowed,Snort Message: OS-WINDOWS Microsoft Windows Active Directory LDAP denial of service attempt; Snort Rule ID: 1:15527:12
2026-05-14 08:19:55 -0700,IDS Alert,tcp/ip,,KF-AP-06,10.6.2.33,54266,146.190.252.222,8080,10.6.2.33,00:18:0a:4f:00:09,,,,,Blocked,Snort Message: SERVER-APACHE Apache Struts freemarker tag OGNL expression injection attempt; Snort Rule ID: 1:44328:6
